class,a1,a2,a3,a4,dataid
0,2,4,2,2,d190
0,2,4,2,3,d191
0,2,4,3,1,d193
0,2,4,3,2,d194
1,2,4,3,3,d195
1,2,4,3,5,d197
1,2,4,4,3,d199
1,2,4,4,4,d200
0,2,4,5,1,d202
1,2,4,5,2,d203
1,2,4,5,5,d206
0,2,5,1,1,d207
0,2,5,1,2,d208
0,2,5,1,3,d209
0,2,5,1,4,d210
0,2,5,1,5,d211
0,2,5,2,1,d212
0,2,5,2,2,d213
0,2,5,2,3,d214
0,2,5,2,4,d215
0,2,5,3,2,d217
1,2,5,3,4,d219
1,2,5,3,5,d220
0,2,5,4,1,d221
0,2,5,4,2,d222
1,2,5,4,3,d223
1,2,5,4,5,d225
0,2,5,5,1,d226
1,2,5,5,5,d229
0,3,1,1,1,d230
1,3,1,1,4,d232
1,3,1,2,3,d236
1,3,1,2,5,d238
1,3,1,3,4,d241
1,3,1,3,5,d242
1,3,1,4,2,d244
1,3,1,4,5,d247
1,3,1,5,2,d249
1,3,1,5,3,d250
1,3,1,5,4,d251
1,3,1,5,5,d252
0,3,2,1,1,d253
0,3,2,1,2,d254
0,3,2,1,3,d255
0,3,2,1,4,d256
0,3,2,2,1,d258
0,3,2,2,2,d259
1,3,2,2,4,d260
1,3,2,2,5,d261
0,3,2,3,1,d262
1,3,2,3,4,d264
0,3,2,4,1,d266
1,3,2,4,2,d267
1,3,2,4,3,d268
1,3,2,4,4,d269
1,3,2,4,5,d270
1,3,2,5,2,d272
1,3,2,5,3,d273
1,3,2,5,4,d274
1,3,2,5,5,d275
0,3,3,1,3,d278
0,3,3,2,4,d284
1,3,3,2,5,d285
0,3,3,3,1,d286
0,3,3,3,2,d287
1,3,3,3,4,d288
1,3,3,3,5,d289
0,3,3,4,1,d290
0,3,3,4,2,d291
1,3,3,4,3,d292
1,3,3,4,4,d293
1,3,3,4,5,d294
1,3,3,5,2,d296
1,3,3,5,3,d297
1,3,3,5,4,d298
0,3,4,1,2,d301
0,3,4,1,4,d303
0,3,4,1,5,d304
0,3,4,2,2,d306
0,3,4,2,3,d307
0,3,4,2,5,d309
0,3,4,3,1,d310
0,3,4,3,2,d311
0,3,4,3,3,d312
1,3,4,3,5,d313
0,3,4,4,1,d314
0,3,4,4,2,d315
1,3,4,4,4,d316
1,3,4,4,5,d317
0,3,4,5,1,d318
0,3,4,5,2,d319
1,3,4,5,3,d320
1,3,4,5,4,d321
1,3,4,5,5,d322
0,3,5,1,1,d323
0,3,5,1,3,d325
0,3,5,1,4,d326
0,3,5,1,5,d327
0,3,5,2,1,d328
0,3,5,2,2,d329
0,3,5,2,3,d330
0,3,5,2,4,d331
0,3,5,2,5,d332
0,3,5,3,1,d333
0,3,5,3,2,d334
0,3,5,3,3,d335
0,3,5,3,4,d336
0,3,5,4,1,d337
0,3,5,4,2,d338
0,3,5,4,3,d339
1,3,5,4,4,d340
1,3,5,4,5,d341
0,3,5,5,1,d342
0,3,5,5,2,d343
1,3,5,5,4,d344
1,3,5,5,5,d345
0,4,1,1,1,d346
0,4,1,1,3,d348
1,4,1,1,5,d349
0,4,1,2,1,d350
1,4,1,2,3,d351
1,4,1,2,4,d352
1,4,1,2,5,d353
0,4,1,3,1,d354
1,4,1,3,4,d357
1,4,1,3,5,d358
1,4,1,4,2,d359
1,4,1,4,5,d362
1,4,1,5,1,d363
1,4,1,5,2,d364
1,4,1,5,5,d367
0,4,2,1,1,d368
0,4,2,1,2,d369
0,4,2,1,3,d370
0,4,2,1,4,d371
0,4,2,1,5,d372
0,4,2,2,3,d375
1,4,2,2,5,d376
0,4,2,3,1,d377
1,4,2,3,3,d379
1,4,2,3,4,d380
1,4,2,3,5,d381
0,4,2,4,1,d382
1,4,2,4,3,d383
1,4,2,4,4,d384
1,4,2,4,5,d385
0,4,2,5,1,d386
1,4,2,5,4,d389
1,4,2,5,5,d390
0,4,3,1,1,d391
0,4,3,1,2,d392
0,4,3,1,4,d394
0,4,3,1,5,d395
0,4,3,2,1,d396
0,4,3,2,3,d398
0,4,3,2,4,d399
0,4,3,3,1,d401
0,4,3,3,2,d402
0,4,3,3,3,d403
1,4,3,3,5,d404
0,4,3,4,1,d405
0,4,3,4,2,d406
1,4,3,4,5,d408
0,4,3,5,1,d409
1,4,3,5,3,d411
1,4,3,5,4,d412
1,4,3,5,5,d413
0,4,4,1,1,d414
0,4,4,1,2,d415
0,4,4,1,3,d416
0,4,4,1,5,d418
0,4,4,2,1,d419
0,4,4,2,2,d420
0,4,4,2,3,d421
0,4,4,2,4,d422
0,4,4,3,1,d424
0,4,4,3,3,d426
0,4,4,3,4,d427
0,4,4,3,5,d428
0,4,4,4,1,d429
0,4,4,4,2,d430
1,4,4,4,5,d432
0,4,4,5,1,d433
0,4,4,5,2,d434
0,4,4,5,3,d435
1,4,4,5,4,d436
1,4,4,5,5,d437
0,4,5,1,3,d440
0,4,5,1,4,d441
0,4,5,1,5,d442
0,4,5,2,2,d444
0,4,5,2,4,d446
0,4,5,3,2,d449
0,4,5,3,3,d450
0,4,5,3,4,d451
0,4,5,3,5,d452
0,4,5,4,1,d453
0,4,5,4,2,d454
0,4,5,4,3,d455
0,4,5,4,4,d456
0,4,5,5,1,d457
0,4,5,5,2,d458
0,4,5,5,3,d459
1,4,5,5,5,d460
0,5,1,1,1,d461
0,5,1,1,2,d462
0,5,1,1,3,d463
0,5,1,1,4,d464
0,5,1,2,1,d465
1,5,1,2,3,d467
1,5,1,2,4,d468
1,5,1,2,5,d469
0,5,1,3,1,d470
1,5,1,3,2,d471
1,5,1,3,3,d472
1,5,1,3,4,d473
1,5,1,3,5,d474
0,5,1,4,1,d475
1,5,1,4,2,d476
1,5,1,4,3,d477
1,5,1,4,4,d478
1,5,1,4,5,d479
1,5,1,5,2,d480
1,5,1,5,3,d481
1,5,1,5,4,d482
1,5,1,5,5,d483
0,5,2,1,2,d485
0,5,2,1,3,d486
0,5,2,1,4,d487
0,5,2,2,1,d489
0,5,2,2,2,d490
0,5,2,2,3,d491
0,5,2,2,4,d492
0,5,2,3,1,d493
1,5,2,3,4,d496
0,5,2,4,1,d498
0,5,2,4,2,d499
1,5,2,4,3,d500
1,5,2,4,4,d501
1,5,2,4,5,d502
0,5,2,5,1,d503
1,5,2,5,3,d504
0,5,3,1,1,d507
0,5,3,1,2,d508
0,5,3,1,3,d509
0,5,3,1,4,d510
0,5,3,1,5,d511
0,5,3,2,1,d512
0,5,3,2,2,d513
0,5,3,2,3,d514
0,5,3,2,4,d515
0,5,3,3,1,d517
0,5,3,3,2,d518
0,5,3,3,4,d520
0,5,3,4,1,d521
0,5,3,4,2,d522
0,5,3,4,3,d523
1,5,3,4,4,d524
1,5,3,5,4,d528
1,5,3,5,5,d529
0,5,4,1,1,d530
0,5,4,1,2,d531
0,5,4,1,3,d532
0,5,4,1,5,d534
0,5,4,2,1,d535
0,5,4,2,3,d537
0,5,4,2,4,d538
0,5,4,3,1,d540
0,5,4,3,3,d542
0,5,4,3,5,d544
0,5,4,4,1,d545
0,5,4,4,2,d546
0,5,4,4,4,d548
0,5,4,5,1,d549
0,5,5,1,1,d553
0,5,5,1,2,d554
0,5,5,1,3,d555
0,5,5,1,4,d556
0,5,5,1,5,d557
0,5,5,2,1,d558
0,5,5,2,2,d559
0,5,5,2,4,d561
0,5,5,3,1,d563
0,5,5,3,2,d564
0,5,5,3,3,d565
0,5,5,3,4,d566
0,5,5,4,1,d568
0,5,5,4,3,d570
0,5,5,4,4,d571
0,5,5,4,5,d572
0,5,5,5,1,d573
0,5,5,5,2,d574
0,5,5,5,4,d576
