@relation monks-2.train-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute class {0,1}
@attribute a1 {1,2,3}
@attribute a2 {1,2,3}
@attribute a3 {1,2}
@attribute a4 {1,2,3}
@attribute a5 {1,2,3,4}
@attribute a6 {1,2}
@attribute id {data_4,data_7,data_9,data_10,data_11,data_13,data_15,data_19,data_23,data_25,data_26,data_37,data_39,data_40,data_42,data_44,data_50,data_58,data_60,data_61,data_62,data_63,data_65,data_66,data_68,data_69,data_70,data_71,data_72,data_75,data_79,data_85,data_87,data_89,data_90,data_93,data_94,data_95,data_96,data_98,data_100,data_101,data_102,data_107,data_108,data_110,data_111,data_116,data_117,data_120,data_125,data_126,data_127,data_130,data_134,data_136,data_139,data_145,data_148,data_149,data_156,data_162,data_164,data_166,data_167,data_169,data_172,data_175,data_179,data_184,data_185,data_186,data_188,data_190,data_192,data_197,data_200,data_201,data_205,data_213,data_214,data_215,data_217,data_220,data_222,data_223,data_224,data_225,data_228,data_229,data_233,data_235,data_236,data_240,data_241,data_242,data_246,data_249,data_253,data_254,data_256,data_258,data_259,data_263,data_266,data_267,data_269,data_272,data_273,data_275,data_278,data_285,data_286,data_288,data_295,data_298,data_300,data_302,data_303,data_304,data_305,data_306,data_308,data_310,data_313,data_316,data_317,data_318,data_319,data_320,data_323,data_330,data_331,data_332,data_336,data_338,data_340,data_341,data_342,data_346,data_347,data_353,data_355,data_357,data_358,data_361,data_364,data_365,data_366,data_369,data_371,data_372,data_374,data_377,data_382,data_384,data_385,data_387,data_389,data_390,data_398,data_409,data_417,data_419,data_421,data_422,data_425,data_427,data_432}

@data
1,1,3,1,2,3,2,data_110
0,1,3,1,2,4,1,data_111
1,1,3,1,3,2,2,data_116
0,1,3,1,3,3,1,data_117
1,1,3,1,3,4,2,data_120
0,1,3,2,1,3,1,data_125
1,1,3,2,1,3,2,data_126
0,1,3,2,1,4,1,data_127
1,1,3,2,2,1,2,data_130
0,1,3,2,2,3,2,data_134
0,1,3,2,2,4,2,data_136
1,1,3,2,3,2,1,data_139
0,2,1,1,1,1,1,data_145
0,2,1,1,1,2,2,data_148
0,2,1,1,1,3,1,data_149
1,2,1,1,2,2,2,data_156
0,2,1,1,3,1,2,data_162
1,2,1,1,3,2,2,data_164
1,2,1,1,3,3,2,data_166
0,2,1,1,3,4,1,data_167
0,2,1,2,1,1,1,data_169
1,2,1,2,1,2,2,data_172
0,2,1,2,1,4,1,data_175
1,2,1,2,2,2,1,data_179
0,2,1,2,2,4,2,data_184
0,2,1,2,3,1,1,data_185
1,2,1,2,3,1,2,data_186
0,2,1,2,3,2,2,data_188
0,2,1,2,3,3,2,data_190
0,2,1,2,3,4,2,data_192
0,2,2,1,1,3,1,data_197
1,2,2,1,1,4,2,data_200
0,2,2,1,2,1,1,data_201
1,2,2,1,2,3,1,data_205
1,2,2,1,3,3,1,data_213
0,2,2,1,3,3,2,data_214
1,2,2,1,3,4,1,data_215
0,2,2,2,1,1,1,data_217
0,2,2,2,1,2,2,data_220
0,2,2,2,1,3,2,data_222
1,2,2,2,1,4,1,data_223
0,2,2,2,1,4,2,data_224
1,2,2,2,2,1,1,data_225
0,2,2,2,2,2,2,data_228
0,2,2,2,2,3,1,data_229
1,2,2,2,3,1,1,data_233
0,2,2,2,3,2,1,data_235
0,2,2,2,3,2,2,data_236
0,2,2,2,3,4,2,data_240
0,2,3,1,1,1,1,data_241
0,2,3,1,1,1,2,data_242
1,2,3,1,1,3,2,data_246
0,2,3,1,2,1,1,data_249
1,2,3,1,2,3,1,data_253
0,2,3,1,2,3,2,data_254
0,2,3,1,2,4,2,data_256
1,2,3,1,3,1,2,data_258
1,2,3,1,3,2,1,data_259
1,2,3,1,3,4,1,data_263
1,2,3,2,1,1,2,data_266
1,2,3,2,1,2,1,data_267
1,2,3,2,1,3,1,data_269
0,2,3,2,1,4,2,data_272
1,2,3,2,2,1,1,data_273
0,2,3,2,2,2,1,data_275
0,2,3,2,2,3,2,data_278
0,2,3,2,3,3,1,data_285
0,2,3,2,3,3,2,data_286
0,2,3,2,3,4,2,data_288
0,3,1,1,1,4,1,data_295
0,3,1,1,2,1,2,data_298
1,3,1,1,2,2,2,data_300
1,3,1,1,2,3,2,data_302
0,3,1,1,2,4,1,data_303
1,3,1,1,2,4,2,data_304
0,3,1,1,3,1,1,data_305
0,3,1,1,3,1,2,data_306
1,3,1,1,3,2,2,data_308
1,3,1,1,3,3,2,data_310
0,3,1,2,1,1,1,data_313
1,3,1,2,1,2,2,data_316
0,3,1,2,1,3,1,data_317
1,3,1,2,1,3,2,data_318
0,3,1,2,1,4,1,data_319
1,3,1,2,1,4,2,data_320
1,3,1,2,2,2,1,data_323
1,3,1,2,3,1,2,data_330
1,3,1,2,3,2,1,data_331
0,3,1,2,3,2,2,data_332
0,3,1,2,3,4,2,data_336
0,3,2,1,1,1,2,data_338
1,3,2,1,1,2,2,data_340
0,3,2,1,1,3,1,data_341
1,3,2,1,1,3,2,data_342
1,3,2,1,2,1,2,data_346
1,3,2,1,2,2,1,data_347
0,3,2,1,3,1,1,data_353
1,3,2,1,3,2,1,data_355
1,3,2,1,3,3,1,data_357
0,3,2,1,3,3,2,data_358
0,3,2,2,1,1,1,data_361
0,3,2,2,1,2,2,data_364
1,3,2,2,1,3,1,data_365
0,3,2,2,1,3,2,data_366
1,3,2,2,2,1,1,data_369
0,3,2,2,2,2,1,data_371
0,3,2,2,2,2,2,data_372
0,3,2,2,2,3,2,data_374
1,3,2,2,3,1,1,data_377
0,3,2,2,3,3,2,data_382
0,3,2,2,3,4,2,data_384
0,3,3,1,1,1,1,data_385
0,3,3,1,1,2,1,data_387
0,3,3,1,1,3,1,data_389
1,3,3,1,1,3,2,data_390
0,3,3,1,2,3,2,data_398
0,3,3,2,1,1,1,data_409
1,3,3,2,2,1,1,data_417
0,3,3,2,2,2,1,data_419
0,3,3,2,2,3,1,data_421
0,3,3,2,2,3,2,data_422
1,3,3,2,3,1,1,data_425
0,3,3,2,3,2,1,data_427
0,3,3,2,3,4,2,data_432
