@relation balance-scale-data-Train-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute class {0,1}
@attribute a1 {1,2,3,4,5}
@attribute a2 {1,2,3,4,5}
@attribute a3 {1,2,3,4,5}
@attribute a4 {1,2,3,4,5}
@attribute dataid {d1,d3,d4,d5,d7,d9,d10,d11,d12,d13,d14,d16,d17,d18,d20,d21,d22,d23,d24,d25,d28,d29,d30,d31,d32,d34,d35,d38,d40,d41,d42,d43,d44,d45,d49,d50,d53,d54,d55,d56,d57,d58,d59,d60,d62,d63,d64,d67,d69,d70,d72,d73,d74,d75,d76,d79,d80,d82,d83,d84,d85,d87,d88,d89,d90,d91,d94,d95,d96,d97,d98,d99,d100,d101,d102,d104,d105,d107,d108,d109,d110,d112,d113,d114,d115,d118,d120,d121,d122,d124,d125,d126,d127,d128,d129,d130,d131,d133,d134,d135,d136,d137,d141,d142,d143,d144,d145,d146,d147,d148,d149,d152,d153,d154,d155,d156,d157,d158,d160,d161,d162,d163,d164,d165,d167,d169,d172,d173,d174,d175,d176,d177,d178,d179,d180,d182,d184,d188,d189,d190,d191,d193,d194,d195,d197,d199,d200,d202,d203,d206,d207,d208,d209,d210,d211,d212,d213,d214,d215,d217,d219,d220,d221,d222,d223,d225,d226,d229,d230,d232,d236,d238,d241,d242,d244,d247,d249,d250,d251,d252,d253,d254,d255,d256,d258,d259,d260,d261,d262,d264,d266,d267,d268,d269,d270,d272,d273,d274,d275,d278,d284,d285,d286,d287,d288,d289,d290,d291,d292,d293,d294,d296,d297,d298,d301,d303,d304,d306,d307,d309,d310,d311,d312,d313,d314,d315,d316,d317,d318,d319,d320,d321,d322,d323,d325,d326,d327,d328,d329,d330,d331,d332,d333,d334,d335,d336,d337,d338,d339,d340,d341,d342,d343,d344,d345,d346,d348,d349,d350,d351,d352,d353,d354,d357,d358,d359,d362,d363,d364,d367,d368,d369,d370,d371,d372,d375,d376,d377,d379,d380,d381,d382,d383,d384,d385,d386,d389,d390,d391,d392,d394,d395,d396,d398,d399,d401,d402,d403,d404,d405,d406,d408,d409,d411,d412,d413,d414,d415,d416,d418,d419,d420,d421,d422,d424,d426,d427,d428,d429,d430,d432,d433,d434,d435,d436,d437,d440,d441,d442,d444,d446,d449,d450,d451,d452,d453,d454,d455,d456,d457,d458,d459,d460,d461,d462,d463,d464,d465,d467,d468,d469,d470,d471,d472,d473,d474,d475,d476,d477,d478,d479,d480,d481,d482,d483,d485,d486,d487,d489,d490,d491,d492,d493,d496,d498,d499,d500,d501,d502,d503,d504,d507,d508,d509,d510,d511,d512,d513,d514,d515,d517,d518,d520,d521,d522,d523,d524,d528,d529,d530,d531,d532,d534,d535,d537,d538,d540,d542,d544,d545,d546,d548,d549,d553,d554,d555,d556,d557,d558,d559,d561,d563,d564,d565,d566,d568,d570,d571,d572,d573,d574,d576}

@data
1,2,2,3,3,d149
1,2,2,4,2,d152
1,2,2,4,3,d153
1,2,2,4,4,d154
1,2,2,4,5,d155
1,2,2,5,1,d156
1,2,2,5,2,d157
1,2,2,5,3,d158
1,2,2,5,5,d160
0,2,3,1,1,d161
0,2,3,1,2,d162
0,2,3,1,3,d163
0,2,3,1,4,d164
0,2,3,1,5,d165
0,2,3,2,2,d167
1,2,3,2,5,d169
1,2,3,3,4,d172
1,2,3,3,5,d173
0,2,3,4,1,d174
1,2,3,4,2,d175
1,2,3,4,3,d176
1,2,3,4,4,d177
1,2,3,4,5,d178
0,2,3,5,1,d179
1,2,3,5,2,d180
1,2,3,5,4,d182
0,2,4,1,1,d184
0,2,4,1,5,d188
0,2,4,2,1,d189
0,2,4,2,2,d190
0,2,4,2,3,d191
0,2,4,3,1,d193
0,2,4,3,2,d194
1,2,4,3,3,d195
1,2,4,3,5,d197
1,2,4,4,3,d199
1,2,4,4,4,d200
0,2,4,5,1,d202
1,2,4,5,2,d203
1,2,4,5,5,d206
0,2,5,1,1,d207
0,2,5,1,2,d208
0,2,5,1,3,d209
0,2,5,1,4,d210
0,2,5,1,5,d211
0,2,5,2,1,d212
0,2,5,2,2,d213
0,2,5,2,3,d214
0,2,5,2,4,d215
0,2,5,3,2,d217
1,2,5,3,4,d219
1,2,5,3,5,d220
0,2,5,4,1,d221
0,2,5,4,2,d222
1,2,5,4,3,d223
1,2,5,4,5,d225
0,2,5,5,1,d226
1,2,5,5,5,d229
0,3,1,1,1,d230
1,3,1,1,4,d232
1,3,1,2,3,d236
1,3,1,2,5,d238
1,3,1,3,4,d241
1,3,1,3,5,d242
1,3,1,4,2,d244
1,3,1,4,5,d247
1,3,1,5,2,d249
1,3,1,5,3,d250
1,3,1,5,4,d251
1,3,1,5,5,d252
0,3,2,1,1,d253
0,3,2,1,2,d254
0,3,2,1,3,d255
0,3,2,1,4,d256
0,3,2,2,1,d258
0,3,2,2,2,d259
1,3,2,2,4,d260
1,3,2,2,5,d261
0,3,2,3,1,d262
1,3,2,3,4,d264
0,3,2,4,1,d266
1,3,2,4,2,d267
1,3,2,4,3,d268
1,3,2,4,4,d269
1,3,2,4,5,d270
1,3,2,5,2,d272
1,3,2,5,3,d273
1,3,2,5,4,d274
1,3,2,5,5,d275
0,3,3,1,3,d278
0,3,3,2,4,d284
1,3,3,2,5,d285
0,3,3,3,1,d286
0,3,3,3,2,d287
1,3,3,3,4,d288
1,3,3,3,5,d289
0,3,3,4,1,d290
0,3,3,4,2,d291
1,3,3,4,3,d292
1,3,3,4,4,d293
1,3,3,4,5,d294
1,3,3,5,2,d296
1,3,3,5,3,d297
1,3,3,5,4,d298
0,3,4,1,2,d301
0,3,4,1,4,d303
0,3,4,1,5,d304
0,3,4,2,2,d306
0,3,4,2,3,d307
0,3,4,2,5,d309
0,3,4,3,1,d310
0,3,4,3,2,d311
0,3,4,3,3,d312
1,3,4,3,5,d313
0,3,4,4,1,d314
0,3,4,4,2,d315
1,3,4,4,4,d316
1,3,4,4,5,d317
0,3,4,5,1,d318
0,3,4,5,2,d319
1,3,4,5,3,d320
1,3,4,5,4,d321
1,3,4,5,5,d322
0,3,5,1,1,d323
0,3,5,1,3,d325
0,3,5,1,4,d326
0,3,5,1,5,d327
0,3,5,2,1,d328
0,3,5,2,2,d329
0,3,5,2,3,d330
0,3,5,2,4,d331
0,3,5,2,5,d332
0,3,5,3,1,d333
0,3,5,3,2,d334
0,3,5,3,3,d335
0,3,5,3,4,d336
0,3,5,4,1,d337
0,3,5,4,2,d338
0,3,5,4,3,d339
1,3,5,4,4,d340
1,3,5,4,5,d341
0,3,5,5,1,d342
0,3,5,5,2,d343
1,3,5,5,4,d344
1,3,5,5,5,d345
0,4,1,1,1,d346
0,4,1,1,3,d348
1,4,1,1,5,d349
0,4,1,2,1,d350
1,4,1,2,3,d351
1,4,1,2,4,d352
1,4,1,2,5,d353
0,4,1,3,1,d354
1,4,1,3,4,d357
1,4,1,3,5,d358
1,4,1,4,2,d359
1,4,1,4,5,d362
1,4,1,5,1,d363
1,4,1,5,2,d364
1,4,1,5,5,d367
0,4,2,1,1,d368
0,4,2,1,2,d369
0,4,2,1,3,d370
0,4,2,1,4,d371
0,4,2,1,5,d372
0,4,2,2,3,d375
1,4,2,2,5,d376
0,4,2,3,1,d377
1,4,2,3,3,d379
1,4,2,3,4,d380
1,4,2,3,5,d381
0,4,2,4,1,d382
1,4,2,4,3,d383
1,4,2,4,4,d384
1,4,2,4,5,d385
0,4,2,5,1,d386
1,4,2,5,4,d389
1,4,2,5,5,d390
0,4,3,1,1,d391
0,4,3,1,2,d392
0,4,3,1,4,d394
0,4,3,1,5,d395
0,4,3,2,1,d396
0,4,3,2,3,d398
0,4,3,2,4,d399
0,4,3,3,1,d401
0,4,3,3,2,d402
0,4,3,3,3,d403
1,4,3,3,5,d404
0,4,3,4,1,d405
0,4,3,4,2,d406
1,4,3,4,5,d408
0,4,3,5,1,d409
1,4,3,5,3,d411
1,4,3,5,4,d412
1,4,3,5,5,d413
0,4,4,1,1,d414
0,4,4,1,2,d415
0,4,4,1,3,d416
0,4,4,1,5,d418
0,4,4,2,1,d419
0,4,4,2,2,d420
0,4,4,2,3,d421
0,4,4,2,4,d422
0,4,4,3,1,d424
0,4,4,3,3,d426
0,4,4,3,4,d427
0,4,4,3,5,d428
0,4,4,4,1,d429
0,4,4,4,2,d430
1,4,4,4,5,d432
0,4,4,5,1,d433
0,4,4,5,2,d434
0,4,4,5,3,d435
1,4,4,5,4,d436
1,4,4,5,5,d437
0,4,5,1,3,d440
0,4,5,1,4,d441
0,4,5,1,5,d442
0,4,5,2,2,d444
0,4,5,2,4,d446
0,4,5,3,2,d449
0,4,5,3,3,d450
0,4,5,3,4,d451
0,4,5,3,5,d452
0,4,5,4,1,d453
0,4,5,4,2,d454
0,4,5,4,3,d455
0,4,5,4,4,d456
0,4,5,5,1,d457
0,4,5,5,2,d458
0,4,5,5,3,d459
1,4,5,5,5,d460
0,5,1,1,1,d461
0,5,1,1,2,d462
0,5,1,1,3,d463
0,5,1,1,4,d464
0,5,1,2,1,d465
1,5,1,2,3,d467
1,5,1,2,4,d468
1,5,1,2,5,d469
0,5,1,3,1,d470
1,5,1,3,2,d471
1,5,1,3,3,d472
1,5,1,3,4,d473
1,5,1,3,5,d474
0,5,1,4,1,d475
1,5,1,4,2,d476
1,5,1,4,3,d477
1,5,1,4,4,d478
1,5,1,4,5,d479
1,5,1,5,2,d480
1,5,1,5,3,d481
1,5,1,5,4,d482
1,5,1,5,5,d483
0,5,2,1,2,d485
0,5,2,1,3,d486
0,5,2,1,4,d487
0,5,2,2,1,d489
0,5,2,2,2,d490
0,5,2,2,3,d491
0,5,2,2,4,d492
0,5,2,3,1,d493
1,5,2,3,4,d496
0,5,2,4,1,d498
0,5,2,4,2,d499
1,5,2,4,3,d500
1,5,2,4,4,d501
1,5,2,4,5,d502
0,5,2,5,1,d503
1,5,2,5,3,d504
0,5,3,1,1,d507
0,5,3,1,2,d508
0,5,3,1,3,d509
0,5,3,1,4,d510
0,5,3,1,5,d511
0,5,3,2,1,d512
0,5,3,2,2,d513
0,5,3,2,3,d514
0,5,3,2,4,d515
0,5,3,3,1,d517
0,5,3,3,2,d518
0,5,3,3,4,d520
0,5,3,4,1,d521
0,5,3,4,2,d522
0,5,3,4,3,d523
1,5,3,4,4,d524
1,5,3,5,4,d528
1,5,3,5,5,d529
0,5,4,1,1,d530
0,5,4,1,2,d531
0,5,4,1,3,d532
0,5,4,1,5,d534
0,5,4,2,1,d535
0,5,4,2,3,d537
0,5,4,2,4,d538
0,5,4,3,1,d540
0,5,4,3,3,d542
0,5,4,3,5,d544
0,5,4,4,1,d545
0,5,4,4,2,d546
0,5,4,4,4,d548
0,5,4,5,1,d549
0,5,5,1,1,d553
0,5,5,1,2,d554
0,5,5,1,3,d555
0,5,5,1,4,d556
0,5,5,1,5,d557
0,5,5,2,1,d558
0,5,5,2,2,d559
0,5,5,2,4,d561
0,5,5,3,1,d563
0,5,5,3,2,d564
0,5,5,3,3,d565
0,5,5,3,4,d566
0,5,5,4,1,d568
0,5,5,4,3,d570
0,5,5,4,4,d571
0,5,5,4,5,d572
0,5,5,5,1,d573
0,5,5,5,2,d574
0,5,5,5,4,d576
