@relation random1000

@attribute meanfreq numeric
@attribute sd numeric
@attribute 'sd d' {high,medium,low}
@attribute median numeric
@attribute Q25 numeric
@attribute Q75 numeric
@attribute IQR numeric
@attribute 'IQR d' {medium,low,high}
@attribute skew numeric
@attribute kurt numeric
@attribute sp.ent numeric
@attribute sfm numeric
@attribute mode numeric
@attribute centroid numeric
@attribute meanfun numeric
@attribute minfun numeric
@attribute maxfun numeric
@attribute meandom numeric
@attribute mindom numeric
@attribute maxdom numeric
@attribute dfrange numeric
@attribute 'dfrange d' {low,medium,high}
@attribute modindx numeric
@attribute label {male,female}

@data
0.141996,0.07773,high,0.142815,0.082925,0.202962,0.120037,medium,1.066575,4.670177,0.973287,0.783588,0.087532,0.141996,0.09564,0.017837,0.183908,0.312872,0.007813,0.648438,0.640625,low,0.246341,male
0.151755,0.07011,high,0.172266,0.095156,0.202526,0.10737,medium,2.244613,9.037923,0.95021,0.661867,0.189401,0.151755,0.098609,0.016949,0.275862,0.184896,0.007813,0.671875,0.664063,low,0.186765,male
0.155791,0.072955,high,0.15846,0.101589,0.21579,0.114201,medium,1.107812,4.410253,0.972616,0.7796,0.107322,0.155791,0.11859,0.033333,0.275862,0.424716,0.007813,3.0625,3.054688,low,0.161856,male
0.132079,0.083579,high,0.12105,0.05395,0.201492,0.147541,high,0.913085,4.07557,0.974282,0.776759,0.195884,0.132079,0.110245,0.038835,0.219178,0.498935,0.023438,5.234375,5.210938,low,0.112729,male
0.156414,0.076329,high,0.147649,0.103841,0.228079,0.124238,medium,1.433865,5.854601,0.969736,0.755512,0.124702,0.156414,0.116346,0.021948,0.192771,0.216406,0.007813,0.625,0.617188,low,0.346695,male
0.134506,0.084255,high,0.123855,0.051895,0.215881,0.163987,high,1.139521,4.349925,0.971676,0.768141,0.023064,0.134506,0.106786,0.039216,0.235294,0.258185,0.03125,0.640625,0.609375,low,0.272605,male
0.169412,0.07523,high,0.165851,0.117054,0.243402,0.126349,medium,1.479749,4.969102,0.957457,0.704163,0.260249,0.169412,0.111484,0.027875,0.168421,0.25625,0.03125,0.773438,0.742188,low,0.211634,male
0.155246,0.072312,high,0.170056,0.101243,0.214825,0.113582,medium,2.01178,8.263244,0.960913,0.705632,0.215141,0.155246,0.099438,0.019394,0.197531,0.333079,0.015625,5.367188,5.351563,low,0.067153,male
0.149887,0.076085,high,0.147527,0.095914,0.206882,0.110968,medium,1.146054,4.570516,0.969179,0.753901,0.28,0.149887,0.11471,0.015889,0.25,0.257813,0.039063,0.710938,0.671875,low,0.246366,male
0.159722,0.076812,high,0.163371,0.097569,0.22577,0.128201,medium,1.215849,4.792187,0.965917,0.729219,0.272739,0.159722,0.103969,0.029144,0.271186,0.595881,0.03125,5.421875,5.390625,low,0.163009,male
0.157421,0.080334,high,0.157067,0.101632,0.228158,0.126526,medium,0.730941,2.978144,0.970941,0.762334,0.118057,0.157421,0.120527,0.017429,0.168421,0.444602,0.007813,3.445313,3.4375,low,0.135931,male
0.170625,0.072667,high,0.185302,0.116709,0.231371,0.114662,medium,1.408412,6.306749,0.963756,0.717781,0.231115,0.170625,0.123096,0.066116,0.275862,0.818257,0.007813,5.0625,5.054688,low,0.184653,male
0.113848,0.07784,high,0.09914,0.043643,0.189121,0.145478,high,0.937421,3.330337,0.965313,0.715838,0.109019,0.113848,0.111043,0.019394,0.258065,0.444824,0.007813,4.125,4.117188,low,0.062422,male
0.167498,0.072583,high,0.192615,0.109232,0.226635,0.117403,medium,1.81882,6.921612,0.954933,0.673122,0.228636,0.167498,0.10426,0.015795,0.225352,0.402455,0.007813,6.007813,6,low,0.073153,male
0.165147,0.070695,high,0.177701,0.110457,0.226425,0.115969,medium,1.260263,4.110171,0.95891,0.677622,0.121921,0.165147,0.110623,0.032258,0.266667,0.244531,0.007813,0.523438,0.515625,low,0.4689,male
0.146445,0.081916,high,0.143784,0.086775,0.212396,0.125622,medium,1.185717,4.635083,0.96832,0.745048,0.27773,0.146445,0.112855,0.022567,0.25,0.355283,0.015625,3.84375,3.828125,low,0.108571,male
0.169186,0.065768,medium,0.18021,0.114465,0.2213,0.106834,medium,1.129924,4.116322,0.949379,0.600748,0.191069,0.169186,0.114004,0.026534,0.210526,0.411765,0.109375,2.109375,2,low,0.117188,male
0.136066,0.083186,high,0.133696,0.055097,0.209339,0.154241,high,0.630191,3.677954,0.981997,0.831347,0.242802,0.136066,0.09925,0.020592,0.166667,0.440272,0.015625,3.945313,3.929688,low,0.148968,male
0.157534,0.072466,high,0.166187,0.103405,0.225276,0.121871,medium,1.197985,4.08618,0.956395,0.688634,0.234341,0.157534,0.095537,0.038186,0.197531,0.490885,0.03125,3.070313,3.039063,low,0.217107,male
0.156781,0.069297,medium,0.165758,0.101309,0.212317,0.111008,medium,1.257669,4.372105,0.96343,0.72172,0.1095,0.156781,0.093388,0.018692,0.253968,0.339988,0.007813,3.265625,3.257813,low,0.127283,male
0.159333,0.078428,high,0.168961,0.098227,0.225548,0.127321,medium,1.303955,4.79799,0.963302,0.720682,0.271459,0.159333,0.109994,0.025316,0.266667,0.260851,0.03125,0.640625,0.609375,low,0.353695,male
0.164565,0.066692,medium,0.170045,0.118682,0.22041,0.101728,medium,1.263097,4.548819,0.961163,0.700491,0.242102,0.164565,0.119315,0.033755,0.262295,0.194957,0.007813,0.695313,0.6875,low,0.205628,male
0.146241,0.078154,high,0.159085,0.083279,0.221544,0.138265,high,1.341799,5.60264,0.967901,0.744773,0.237026,0.146241,0.100752,0.030361,0.253968,0.657227,0.007813,6.171875,6.164063,medium,0.098769,male
0.138546,0.076228,high,0.129991,0.072657,0.205613,0.132957,high,0.970002,4.277142,0.974481,0.778517,0.103054,0.138546,0.107425,0.028725,0.228571,0.176432,0.007813,0.703125,0.695313,low,0.232745,male
0.141419,0.073749,high,0.140326,0.083413,0.208099,0.124686,medium,1.500373,5.685817,0.967774,0.748328,0.10405,0.141419,0.107725,0.020806,0.213333,0.412861,0.007813,2.992188,2.984375,low,0.140524,male
0.135682,0.077022,high,0.147956,0.078166,0.195135,0.116969,medium,1.493024,5.882677,0.968273,0.766288,0.148794,0.135682,0.108887,0.037915,0.231884,0.280839,0.023438,0.6875,0.664063,low,0.288235,male
0.161038,0.073426,high,0.166243,0.104733,0.220628,0.115895,medium,1.157284,4.854433,0.969534,0.746184,0.215403,0.161038,0.10393,0.018583,0.271186,0.388765,0.007813,3.039063,3.03125,low,0.123582,male
0.112448,0.084364,high,0.105629,0.029844,0.182419,0.152575,high,1.90612,8.584901,0.966289,0.772289,0.018443,0.112448,0.120959,0.017204,0.253968,0.977865,0.007813,5.328125,5.320313,low,0.249449,male
0.155224,0.073201,high,0.143864,0.104034,0.215796,0.111762,medium,1.435853,5.131262,0.951795,0.675391,0.103439,0.155224,0.093939,0.029358,0.210526,0.1975,0.007813,0.546875,0.539063,low,0.320048,male
0.12493,0.081683,high,0.113691,0.057268,0.200543,0.143275,high,1.66177,7.694458,0.976533,0.826099,0.102913,0.12493,0.124463,0.015936,0.258065,0.648438,0.007813,4.648438,4.640625,low,0.213023,male
0.141965,0.081082,high,0.127906,0.074398,0.212565,0.138168,high,1.373917,5.514572,0.9749,0.813088,0.126073,0.141965,0.103187,0.01658,0.231884,0.691002,0.007813,4.890625,4.882813,low,0.211437,male
0.176506,0.076681,high,0.194156,0.114347,0.245461,0.131114,high,1.568239,5.557822,0.941809,0.625043,0.109317,0.176506,0.122958,0.060606,0.275862,0.45477,0.007813,3.09375,3.085938,low,0.203574,male
0.160626,0.067135,medium,0.153333,0.108986,0.215072,0.106087,medium,1.330609,4.756591,0.946449,0.622826,0.106667,0.160626,0.104068,0.017429,0.202532,0.42152,0.007813,4.398438,4.390625,low,0.089324,male
0.156032,0.078129,high,0.143531,0.105484,0.228967,0.123483,medium,1.350533,4.767798,0.960077,0.716882,0.124394,0.156032,0.111528,0.017857,0.25,0.656829,0.007813,5.054688,5.046875,low,0.109391,male
0.074675,0.072947,high,0.042769,0.017065,0.131257,0.114191,medium,2.18332,7.302079,0.933538,0.601207,0.011166,0.074675,0.178503,0.053872,0.275862,0.588216,0.007813,2.75,2.742188,low,0.262536,male
0.092579,0.080289,high,0.066576,0.016433,0.166652,0.150218,high,3.570619,19.677106,0.931496,0.617675,0.010956,0.092579,0.160002,0.02108,0.246154,0.698017,0.007813,5.703125,5.695313,low,0.139808,male
0.101278,0.075061,high,0.080672,0.033793,0.170617,0.136824,high,1.49759,5.551429,0.958994,0.690904,0.011561,0.101278,0.169234,0.019827,0.258065,0.721467,0.007813,5.875,5.867188,low,0.157124,male
0.091436,0.077062,high,0.070372,0.023457,0.153963,0.130505,high,2.354569,9.180173,0.956468,0.731009,0.01359,0.091436,0.161466,0.016529,0.246154,0.776278,0.007813,6.125,6.117188,medium,0.121208,male
0.137206,0.075199,high,0.168463,0.056747,0.19479,0.138043,high,2.338022,9.498963,0.937677,0.609028,0.198526,0.137206,0.168194,0.017241,0.275862,1.289509,0.007813,6.078125,6.070313,medium,0.350571,male
0.15267,0.067368,medium,0.174697,0.112097,0.195321,0.083224,medium,2.736024,11.632255,0.940401,0.664616,0.190468,0.15267,0.160876,0.027073,0.207792,0.971154,0.007813,7,6.992188,medium,0.141721,male
0.171713,0.061671,medium,0.189894,0.15266,0.207766,0.055106,low,2.818282,11.990365,0.920936,0.553174,0.209255,0.171713,0.177866,0.027165,0.271186,1.133854,0.03125,5.789063,5.757813,low,0.198301,male
0.143809,0.078843,high,0.177024,0.074958,0.20104,0.126082,medium,2.267833,8.811947,0.946048,0.66067,0.199402,0.143809,0.169236,0.016807,0.235294,1.620739,0.007813,6.414063,6.40625,medium,0.220935,male
0.152846,0.070185,high,0.17498,0.115906,0.200114,0.084208,medium,2.314759,8.840242,0.953125,0.71483,0.200915,0.152846,0.179051,0.016701,0.271186,0.80193,0.007813,6.101563,6.09375,medium,0.152925,male
0.151463,0.067562,medium,0.175596,0.105085,0.197226,0.092141,medium,2.303377,8.258878,0.93201,0.594163,0.185134,0.151463,0.17777,0.01837,0.262295,1.411458,0.007813,6.125,6.117188,medium,0.277101,male
0.157953,0.076577,high,0.163356,0.106501,0.227684,0.121182,medium,2.326585,9.046711,0.930487,0.593444,0.232755,0.157953,0.104608,0.01658,0.258065,0.250269,0.007813,2.148438,2.140625,low,0.149374,male
0.097986,0.079749,high,0.085963,0.022301,0.156869,0.134568,high,3.292217,16.976744,0.959707,0.748813,0.007243,0.097986,0.104386,0.017563,0.258065,0.289641,0.007813,0.6875,0.679688,low,0.250115,male
0.12748,0.067121,medium,0.111466,0.093812,0.185367,0.091554,medium,3.024085,14.41917,0.930031,0.598873,0.100587,0.12748,0.071739,0.01592,0.262295,0.151727,0.015625,0.679688,0.664063,low,0.273132,male
0.155193,0.065445,medium,0.142237,0.104087,0.214062,0.109975,medium,2.727343,14.253903,0.930959,0.556836,0.110446,0.155193,0.101183,0.017719,0.262295,0.481771,0.007813,2.585938,2.578125,low,0.237321,male
0.146755,0.065161,medium,0.123288,0.099271,0.199743,0.100472,medium,3.567623,19.342885,0.919335,0.552073,0.09807,0.146755,0.0957,0.016162,0.262295,0.578125,0.007813,5.3125,5.304688,low,0.111728,male
0.155219,0.070498,high,0.148788,0.097974,0.21248,0.114506,medium,1.640513,5.879802,0.949193,0.631026,0.108241,0.155219,0.101876,0.016701,0.271186,0.427284,0.007813,2.320313,2.3125,low,0.186271,male
0.165369,0.04628,medium,0.181144,0.12734,0.19883,0.071489,medium,2.501694,9.942257,0.89182,0.213013,0.193803,0.165369,0.115972,0.030593,0.238806,0.558919,0.007813,3.539063,3.53125,low,0.204646,male
0.174186,0.052364,medium,0.182447,0.124734,0.222101,0.097367,medium,1.569726,6.249511,0.918021,0.249337,0.122686,0.174186,0.125268,0.024316,0.271186,0.897656,0.007813,5.398438,5.390625,low,0.12037,male
0.171727,0.049487,medium,0.15297,0.133107,0.216559,0.083452,medium,1.880941,7.293812,0.909151,0.213391,0.135776,0.171727,0.120801,0.016649,0.271186,0.650506,0.007813,6.960938,6.953125,medium,0.141643,male
0.176459,0.050675,medium,0.187041,0.129047,0.218636,0.089589,medium,1.335153,4.508011,0.91716,0.205177,0.125677,0.176459,0.114119,0.016563,0.228571,0.519314,0.101563,5.390625,5.289063,low,0.107959,male
0.177695,0.050392,medium,0.191953,0.128824,0.219439,0.090615,medium,1.377182,4.474584,0.915824,0.23436,0.120065,0.177695,0.115067,0.019753,0.246154,0.944196,0.101563,5.296875,5.195313,low,0.157568,male
0.176352,0.05041,medium,0.19179,0.127593,0.215803,0.08821,medium,1.60428,5.8292,0.917414,0.229564,0.198994,0.176352,0.117233,0.017937,0.25,0.688519,0.007813,5.679688,5.671875,low,0.121488,male
0.156121,0.063649,medium,0.176965,0.095662,0.194816,0.099155,medium,3.270269,16.45823,0.887308,0.389775,0.094498,0.156121,0.099671,0.040486,0.25641,0.596977,0.102539,0.791016,0.688477,low,0.499645,male
0.152186,0.063314,medium,0.156973,0.096143,0.201855,0.105712,medium,3.063665,13.483005,0.893313,0.424896,0.089992,0.152186,0.097133,0.03876,0.263158,0.511068,0.092773,0.751953,0.65918,low,0.684444,male
0.152267,0.063457,medium,0.150837,0.096325,0.196591,0.100266,medium,3.087689,13.698311,0.885277,0.398488,0.093917,0.152267,0.095382,0.040816,0.163934,0.560192,0.097656,0.844727,0.74707,low,0.597261,male
0.149791,0.06114,medium,0.147068,0.097362,0.197003,0.099642,medium,3.74422,19.764387,0.883207,0.41603,0.093485,0.149791,0.102147,0.06993,0.25,0.46689,0.004883,0.844727,0.839844,low,0.817442,male
0.155785,0.059311,medium,0.165123,0.099534,0.197918,0.098384,medium,2.653738,10.966038,0.908597,0.42165,0.09474,0.155785,0.099036,0.04878,0.227273,0.609422,0.097656,2.749023,2.651367,low,0.247813,male
0.156147,0.06038,medium,0.147893,0.105104,0.210831,0.105727,medium,3.415425,17.55257,0.912332,0.489013,0.103858,0.156147,0.11041,0.019531,0.232558,0.830503,0.004883,3.803711,3.798828,low,0.209044,male
0.149948,0.06013,medium,0.133173,0.097362,0.195396,0.098034,medium,3.171549,15.618431,0.897885,0.418336,0.0949,0.149948,0.094895,0.050505,0.12987,0.313895,0.097656,0.756836,0.65918,low,0.569259,male
0.159003,0.060683,medium,0.148887,0.104336,0.209596,0.10526,medium,2.383484,10.240152,0.915975,0.438488,0.094872,0.159003,0.10036,0.089286,0.142857,0.572917,0.092773,3.417969,3.325195,low,0.225551,male
0.159321,0.06301,medium,0.181556,0.098646,0.1983,0.099654,medium,2.853819,12.155037,0.867335,0.315548,0.098847,0.159321,0.100271,0.039841,0.27027,0.480143,0.097656,0.839844,0.742188,low,0.539188,male
0.15624,0.063787,medium,0.172761,0.095881,0.194602,0.098721,medium,2.931277,13.60814,0.888509,0.377501,0.09195,0.15624,0.098263,0.042735,0.217391,0.425914,0.029297,0.791016,0.761719,low,0.854701,male
0.150052,0.057224,medium,0.149065,0.098034,0.196067,0.098034,medium,4.696294,30.069113,0.856594,0.358091,0.09781,0.150052,0.096564,0.020619,0.212766,0.30506,0.097656,0.761719,0.664063,low,0.370956,male
0.150672,0.060745,medium,0.145728,0.098527,0.199574,0.101047,medium,3.300372,15.731252,0.885868,0.401103,0.101277,0.150672,0.097339,0.023641,0.212766,0.34389,0.097656,0.800781,0.703125,low,0.604514,male
0.151922,0.058063,medium,0.156684,0.098238,0.198135,0.099896,medium,2.890884,12.175473,0.891983,0.4032,0.098031,0.151922,0.109456,0.073529,0.277778,0.400879,0.097656,0.825195,0.727539,low,0.565856,male
0.153063,0.059616,medium,0.137857,0.100177,0.203288,0.10311,medium,2.744697,12.004653,0.90296,0.424031,0.098598,0.153063,0.109356,0.036232,0.27027,0.561988,0.102539,0.810547,0.708008,low,0.587586,male
0.15014,0.061396,medium,0.146625,0.09623,0.194197,0.097967,medium,3.96306,23.958663,0.885942,0.412893,0.095361,0.15014,0.09949,0.022321,0.217391,0.543768,0.004883,0.859375,0.854492,low,0.583129,male
0.155867,0.060096,medium,0.15445,0.101624,0.20775,0.106125,medium,2.281424,8.673052,0.906638,0.418999,0.105178,0.155867,0.102148,0.038911,0.128205,0.470947,0.097656,0.844727,0.74707,low,0.517716,male
0.15513,0.06294,medium,0.170399,0.095746,0.193973,0.098227,medium,4.332606,30.524519,0.888959,0.416014,0.093471,0.15513,0.096316,0.040323,0.27027,0.469416,0.087891,0.795898,0.708008,low,0.844483,male
0.153817,0.058905,medium,0.162708,0.102083,0.202292,0.100208,medium,3.651088,19.95136,0.896026,0.445363,0.099583,0.153817,0.105999,0.089286,0.263158,0.520601,0.092773,0.800781,0.708008,low,0.670115,male
0.153716,0.060092,medium,0.155699,0.098925,0.19957,0.100645,medium,2.942384,12.643661,0.888124,0.39098,0.10043,0.153716,0.096178,0.034602,0.144928,0.438787,0.004883,0.81543,0.810547,low,0.700803,male
0.153085,0.067094,medium,0.159739,0.091736,0.188949,0.097213,medium,3.519284,19.216623,0.892878,0.409349,0.090139,0.153085,0.092268,0.046512,0.185185,0.313895,0.092773,0.800781,0.708008,low,0.548966,male
0.157644,0.060679,medium,0.1759,0.097095,0.197693,0.100598,medium,3.463105,17.916364,0.898706,0.420846,0.095344,0.157644,0.097985,0.024331,0.25,0.420736,0.004883,0.805664,0.800781,low,0.555987,male
0.155181,0.067149,medium,0.163962,0.088711,0.196795,0.108084,medium,3.19246,16.203435,0.89777,0.411582,0.087487,0.155181,0.079302,0.011161,0.113636,0.337339,0.004883,0.756836,0.751953,low,0.520956,male
0.153943,0.061757,medium,0.163753,0.096763,0.198561,0.101798,medium,3.45094,16.782048,0.892002,0.422901,0.099828,0.153943,0.096415,0.04902,0.153846,0.389071,0.097656,0.805664,0.708008,low,0.612151,male
0.153965,0.060739,medium,0.159519,0.098718,0.199679,0.100962,medium,2.705834,11.406721,0.900475,0.4084,0.100064,0.153965,0.095803,0.028249,0.208333,0.432478,0.097656,0.825195,0.727539,low,0.843289,male
0.157915,0.062103,medium,0.176599,0.096479,0.196734,0.100255,medium,3.564927,17.988527,0.893061,0.424736,0.096479,0.157915,0.094728,0.024631,0.2,0.348378,0.097656,0.78125,0.683594,low,0.459416,male
0.162173,0.061884,medium,0.180824,0.102636,0.215881,0.113245,medium,2.003262,6.801192,0.903632,0.394809,0.091796,0.162173,0.093961,0.01368,0.11236,0.367839,0.087891,0.756836,0.668945,low,0.525182,male
0.156166,0.062736,medium,0.171742,0.096276,0.194865,0.098589,medium,3.563475,18.188101,0.883183,0.391122,0.093964,0.156166,0.095125,0.039526,0.178571,0.364435,0.004883,0.849609,0.844727,low,0.391329,male
0.162065,0.062205,medium,0.174971,0.1041,0.214705,0.110606,medium,2.284962,8.90353,0.910273,0.421144,0.106191,0.162065,0.095149,0.050761,0.125,0.270415,0.092773,0.844727,0.751953,low,0.429221,male
0.152737,0.062163,medium,0.157375,0.094864,0.191526,0.096662,medium,3.618249,18.602452,0.889844,0.411598,0.094265,0.152737,0.090786,0.037175,0.138889,0.463018,0.092773,0.942383,0.849609,low,0.564587,male
0.154292,0.059307,medium,0.157556,0.099035,0.200547,0.101511,medium,3.548323,18.183405,0.892389,0.42659,0.101511,0.154292,0.09849,0.045872,0.105263,0.525484,0.097656,1.040039,0.942383,low,0.728497,male
0.156767,0.057688,medium,0.158747,0.10415,0.206327,0.102177,medium,4.022339,24.698425,0.881434,0.395987,0.10437,0.156767,0.103781,0.04902,0.181818,0.576869,0.102539,0.927734,0.825195,low,0.526004,male
0.154152,0.062903,medium,0.15592,0.09786,0.199933,0.102074,medium,2.967369,13.683355,0.895739,0.409561,0.091304,0.154152,0.095919,0.02079,0.138889,0.422119,0.097656,1.088867,0.991211,low,0.471092,male
0.149878,0.061349,medium,0.158791,0.095605,0.197198,0.101593,medium,2.535442,10.295662,0.909933,0.447821,0.095398,0.149878,0.099987,0.053763,0.27027,0.404,0.087891,0.786133,0.698242,low,0.654164,male
0.150109,0.059022,medium,0.135363,0.099811,0.202934,0.103123,medium,2.611603,11.245249,0.905954,0.439216,0.09429,0.150109,0.100917,0.017036,0.212766,0.557528,0.097656,0.766602,0.668945,low,0.460202,male
0.149457,0.060192,medium,0.130903,0.098288,0.197021,0.098732,medium,3.292051,16.818157,0.888853,0.396658,0.097845,0.149457,0.10182,0.090909,0.217391,0.403942,0.102539,0.805664,0.703125,low,0.717593,male
0.152131,0.063066,medium,0.131577,0.099707,0.206699,0.106992,medium,2.72323,11.121851,0.903949,0.434983,0.093561,0.152131,0.091687,0.020619,0.111111,0.46503,0.078125,0.864258,0.786133,low,0.879503,male
0.151532,0.058071,medium,0.151257,0.098246,0.195877,0.097632,medium,3.523045,18.652713,0.893303,0.407681,0.094971,0.151532,0.095423,0.056497,0.212766,0.519064,0.087891,0.776367,0.688477,low,0.65087,male
0.157615,0.058151,medium,0.165838,0.102703,0.204108,0.101405,medium,3.106224,15.621175,0.909153,0.44845,0.100324,0.157615,0.103799,0.035461,0.277778,0.65807,0.048828,3.754883,3.706055,low,0.202961,male
0.151472,0.058072,medium,0.143638,0.099985,0.199139,0.099154,medium,3.132338,14.487293,0.898198,0.419743,0.100193,0.151472,0.102645,0.035971,0.25641,0.562411,0.092773,2.1875,2.094727,low,0.282751,male
0.155264,0.062908,medium,0.151833,0.101222,0.208536,0.107314,medium,3.299011,17.423865,0.905249,0.444301,0.105205,0.155264,0.097132,0.046948,0.114943,0.439453,0.092773,0.834961,0.742188,low,0.685596,male
0.156515,0.063931,medium,0.172399,0.095117,0.194791,0.099674,medium,3.465501,18.917873,0.906056,0.452212,0.092937,0.156515,0.107234,0.084746,0.27027,0.68975,0.004883,3.964844,3.959961,low,0.180671,male
0.155524,0.05928,medium,0.163052,0.100755,0.202635,0.10188,medium,3.354358,17.387016,0.895831,0.412756,0.094008,0.155524,0.099888,0.012121,0.243902,0.434338,0.097656,0.776367,0.678711,low,0.932374,male
0.151684,0.060858,medium,0.146606,0.096743,0.19583,0.099087,medium,3.413564,17.250325,0.892649,0.422863,0.096104,0.151684,0.102077,0.08547,0.277778,0.520601,0.102539,0.795898,0.693359,low,0.685693,male
0.153087,0.062742,medium,0.149968,0.098576,0.202468,0.103892,medium,3.493589,17.559087,0.8934,0.422655,0.091266,0.153087,0.104469,0.045662,0.277778,0.471635,0.097656,0.810547,0.712891,low,0.723744,male
0.151356,0.062224,medium,0.149828,0.094871,0.192951,0.09808,medium,3.886627,23.211201,0.892498,0.410619,0.093668,0.151356,0.100184,0.088496,0.222222,0.449856,0.087891,0.78125,0.693359,low,0.633132,male
0.151334,0.057378,medium,0.139784,0.102034,0.203421,0.101387,medium,2.907355,12.195532,0.895498,0.417326,0.106133,0.151334,0.111855,0.075188,0.25,0.593145,0.102539,0.844727,0.742188,low,0.315443,male
0.147806,0.062466,medium,0.131064,0.095532,0.191489,0.095957,medium,3.262809,17.010058,0.910381,0.466958,0.094255,0.147806,0.089967,0.021552,0.15873,0.322931,0.097656,0.800781,0.703125,low,0.515873,male
0.147937,0.058078,medium,0.137516,0.098677,0.197581,0.098903,medium,3.946192,21.665387,0.879665,0.406526,0.099129,0.147937,0.099679,0.091743,0.140845,0.421782,0.097656,0.805664,0.708008,low,0.833448,male
0.159023,0.065191,medium,0.175968,0.094592,0.196359,0.101767,medium,3.229614,15.630528,0.896248,0.406344,0.092704,0.159023,0.093707,0.020877,0.185185,0.414632,0.004883,0.776367,0.771484,low,0.582566,male
0.155587,0.060045,medium,0.161151,0.101167,0.206811,0.105643,medium,2.458806,9.940006,0.905334,0.429374,0.10251,0.155587,0.100835,0.040816,0.227273,0.373651,0.102539,0.839844,0.737305,low,0.469205,male
0.151272,0.063319,medium,0.13949,0.094421,0.192513,0.098092,medium,3.535282,19.468018,0.891534,0.395373,0.093605,0.151272,0.094116,0.048077,0.138889,0.33373,0.092773,0.839844,0.74707,low,0.505942,male
0.148921,0.061142,medium,0.135842,0.09495,0.192904,0.097954,medium,3.290935,16.615268,0.898404,0.422697,0.093333,0.148921,0.092335,0.038911,0.138889,0.294131,0.092773,0.81543,0.722656,low,0.509797,male
